speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
78.7205323535117,0.0491229913612147,1.1,0.753831911741683,1.23591708899528,1,11.65,11983.5858387711,63.705050631865,107.207509475647,1028.04034723309,340.249760313551,0,90.6933351325004,0,64.6587817159668,1,131.380595779309,1.75,1.75,0.994802917329948,3.68411029809138,0.511599906696568,1.20979558980565,-0.00714974944186714,0,3676.74034723309,
78.919346779809,0.0536961311665115,1.2,0.760594268636922,1.23101092656152,1,11.65,12013.8512558394,63.5413630169465,107.20210865812,1033.23968584737,341.970581604332,0,90.6221704895695,0,64.4080137570561,1,131.380595779309,1.75,1.75,1.09619646500991,3.70653780150148,0.513564589110336,1.31925461665668,-0.00680218124872928,0,3681.93968584738,
79.1169795925836,0.058257750271196,1.3,0.767396258360889,1.22678519072437,1,11.65,12043.9367964936,63.4140008948437,107.25515454029,1038.4211213,343.685477498819,0,90.556213951516,0,64.1572457981455,1,131.380595779309,1.75,1.75,1.1979487150393,3.7290506775746,0.516821509054664,1.4286632997261,-0.00626115445883113,0,3687.1211213,
79.3135665176195,0.0628079745322059,1.4,0.77424082486343,1.22334885480266,1,11.65,12073.8631221995,63.287312782689,107.306852028403,1043.58799283468,345.395553184053,0,90.4902259394561,0,63.9064778392348,1,131.380595779309,1.75,1.75,1.30006248000957,3.75167074687518,0.520582719019811,1.53802129049905,-0.00552616153940014,0,3692.28799283468,
79.5091179916081,0.0673469205890577,1.5,0.781128523965776,1.21992902491581,1,11.65,12103.631821729,63.1612919546804,107.357220778113,1048.74037111898,347.100832048834,0,90.4242067115852,0,63.6557098803241,1,131.380595779309,1.75,1.75,1.40254060563943,3.77440856276567,0.524592820047646,1.64732823725813,-0.00459669116526097,0,3697.44037111898,
79.7036442826517,0.0718747031766849,1.6,0.788059919777331,1.21652554610591,1,11.65,12133.2444581903,63.0359317936612,107.406280088849,1053.8783261452,348.801337258458,0,90.3581565247781,0,63.4049419214135,1,131.380595779309,1.75,1.75,1.50538597134677,3.79726898155091,0.528721821508172,1.75658378503985,-0.00347222817762871,0,3702.5783261452,
79.8971554940617,0.0763914351685539,1.7,0.795035584868394,1.2131382658573,1,11.65,12162.702569605,62.9112257886722,107.454048912198,1059.00192724121,350.497091758321,0,90.292075634609,0,63.1541739625028,1,131.380595779309,1.75,1.75,1.60860149070938,3.82025497486879,0.532926814290496,1.8657875755903,-0.00215225354230906,0,3707.70192724121,
80.0896615680466,0.0808972276185336,1.8,0.802056100446818,1.20976703404206,1,11.65,12192.0076694705,62.787167532575,107.500545860045,1064.11124308112,352.188118277438,0,90.2259642953701,0,62.9034060035921,1,131.380595779309,1.75,1.75,1.7121901120662,3.84336890286968,0.537194046769173,1.97493924732009,-0.000636244307294958,0,3712.81124308112,
80.2811722892951,0.0853921898015631,1.9,0.809122056538735,1.20641170286715,1,11.65,12221.1612473048,62.6637507197431,107.545789212472,1069.2063416956,353.874439331878,0,90.1598227600909,0,62.6526380446814,1,131.380595779309,1.75,1.75,1.81615481904899,3.86661293797565,0.541519497867994,2.08403843525853,0.00107632644025101,0,3717.9063416956,
80.4716972884568,0.0898764292531587,2,0.816234052173461,1.20307212682302,1,11.65,12250.1647691767,62.5409691438186,107.589796925424,1074.28729048214,355.556077228131,0,90.0936512805561,0,62.4018700857708,1,131.380595779309,1.75,1.75,1.92049863115392,3.88998920692086,0.545902418008278,2.19308477100691,0.00298598961764001,0,3722.98729048214,
