[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[68.63] AR26, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,1/20/2026 7:52:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AR26,,,,,,,,,,,,,,,,,,,,,,,,,
108.012604,0.006850327,0.25,15.00350132,7.413325962,1,11.65,16442.70272,38.2017,107.2944446,1935.454595,947.7291464,0,47.00005504,0,-48.63522664,1,131.3805958,1.75,1.75,0,0,0,0.163318698,0.188853534,0,4584.154595
65.37130239,0.020843577,0.5,-7.62040106,-20.93430065,1,11.65,9951.43948,76.86375297,107.4167585,708.9382188,234.6367627,0,0,92.10008479,-43.27045327,1,131.3805958,1.75,1.75,-0.297753459,-2.71666367,-20.33039831,0.335374533,0.380475945,0,3357.638219
64.31672231,0.035066915,0.75,-8.420512314,-20.31939792,1,11.65,9790.901301,78.39689258,107.7918864,686.2493129,227.1274322,0,0,89.98009602,-37.90567991,1,131.3805958,1.75,1.75,-0.636246824,-3.879603044,-8.562176467,0.508460056,0.57124153,0,3334.949313
63.27628754,0.049526067,1,-9.368539588,-19.82551639,1,11.65,9632.516456,79.90946784,108.0942391,664.2263447,219.8385065,0,0,88.3815668,-32.97653983,1,116.5130945,1.75,1.75,-1.035631516,-4.634837556,-5.469751548,0.682705532,0.761020412,0,3312.926345
62.24431093,0.064225403,1.25,-9.98051252,-19.21960575,1,11.65,9475.419191,81.40974672,108.3276661,642.7372079,212.7262627,0,0,86.21216592,-29.95307967,1,106.9528601,1.75,1.75,-1.472707812,-5.208789553,-4.088899827,0.858299556,0.949612239,0,3291.437208
61.22725534,0.079167983,1.5,-10.74123861,-18.52813216,1,11.65,9320.593345,82.88833355,108.4929503,621.904498,205.8312759,0,0,83.58487648,-26.9296195,1,97.93205951,1.75,1.75,-1.958758149,-5.673388354,-3.255975582,1.035358496,1.136892279,0,3270.604498
60.23056625,0.094358741,1.75,-11.56559321,-17.9937531,1,11.65,9168.867882,84.33731173,108.592547,601.8219273,199.1845622,0,0,81.65703715,-24.20254174,1,90.13995858,1.75,1.75,-2.508887866,-6.171620964,-3.4346406,1.214031662,1.322696736,0,3250.521927
59.2465467,0.109800936,2,-12.08855847,-17.35279063,1,11.65,9019.071096,85.76787103,108.6303031,582.3179779,192.7293544,0,0,79.17231901,-22.40508348,1,85.13426088,1.75,1.75,-3.100947446,-6.755147785,-3.957130971,1.394510587,1.506807719,0,3231.017978
58.2818721,0.125494939,2.25,-12.71844564,-16.55141084,1,11.65,8872.219182,87.17030681,108.6088931,563.5093181,186.504266,0,0,75.85721647,-20.60762522,1,80.20057414,1.75,1.75,-3.741797722,-6.956305068,-1.342241406,1.576913696,1.689075289,0,3212.209318
57.34674366,0.141457109,2.5,-13.4902461,-16.76589229,1,11.65,8729.865064,88.52978864,108.5329254,545.5714549,180.5673846,0,0,77.44639652,-18.81016696,1,75.31136705,1.75,1.75,-4.479610012,-7.433154246,-3.128367224,1.761376885,1.869323458,0,3194.271455
