speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
56.3833115780382,0.157692987132853,2.75,-1.32751733832011,-1.65773439096922,1,11.65,8583.20229765894,89.9304180573571,108.397810886326,527.394109158266,174.55124180179,100,0,75.5294978333894,-18.8359248371987,1,75.3812504748651,1.75,1.75,-5.19152921960416,-7.59366394448063,-1.0352711712336,1.94817340802104,2.04720764338357,0,3176.09410915827,
55.4327894502714,0.17420641312166,3,-1.36765780839762,-1.59756718319797,1,11.65,8438.50480681128,91.3122790949522,108.207966472636,509.762145138343,168.715603591887,0,0,73.1461293221615,-17.6718496743973,1,72.2248256382077,1.75,1.75,-5.94844505760631,-7.94434934974892,-2.22386861385548,2.13719729465988,2.22278647166066,0,3158.46214513834,
54.5011071966537,0.190999782795576,3.25,-1.41529871813593,-1.53189428413171,1,11.65,8296.67530024051,92.6667508827031,107.967384433347,492.770573138593,163.091915459582,0,0,70.4499324813595,-16.507774511596,1,69.0662692319271,1.75,1.75,-6.75853212177384,-8.25325379473882,-1.9262600932892,2.32855666795822,2.39588234742867,0,3141.47057313859,
53.5925795403596,0.208083198790841,3.5,-1.46540537486241,-1.50817272308892,1,11.65,8158.37060601912,93.9875607125174,107.680821230424,476.478640847446,157.699786568895,0,0,69.7606606444876,-15.4162070069176,1,66.0940554178991,1.75,1.75,-7.64003492440825,-8.5803282495124,-2.00493606309647,2.52237743619537,2.56628467875852,0,3125.17864084745,
52.6826719111375,0.225467036477643,3.75,-1.47180318273709,-1.4829832825524,1,11.65,8019.85583923415,95.3103767353139,107.342399383735,460.436454290536,152.390315840839,0,0,68.9847935711814,-14.8324140138351,1,64.4972557306674,1.75,1.75,-8.55536292610783,-8.89813151492924,-1.91443803895765,2.71882910957293,2.73371251956731,0,3109.13645429054,
51.7722275262192,0.243155544617024,4,-1.47960863741529,-1.42749063956533,1,11.65,7881.25936240775,97.1216290135336,107.491996369467,444.659747584007,147.168710784305,0,0,66.6940740802516,-14.2486210207527,1,62.8935710841478,1.75,1.75,-9.49862864853981,-9.11644666905841,-1.29247245155839,2.91796255083648,2.89800729160563,0,3093.35974758401,
50.880492176514,0.261158479292319,4.25,-1.51537199689704,-1.39769488334262,1,11.65,7745.5109523148,98.975531475332,107.657047637775,429.473846801452,142.14264433145,0,0,65.6416372241085,-13.4372173157995,1,60.6502109356,1.75,1.75,-10.5073408482507,-9.4217079765931,-1.77564880110399,3.11980651922191,3.05902778895326,0,3078.17384680145,
49.9918494530265,0.279485251895307,4.5,-1.52684950352854,-1.36484528874218,1,11.65,7610.23333110805,100.82300442039,107.751210575188,414.603078516938,137.220877050523,0,0,64.4176998463212,-12.874434631599,1,59.0821712026646,1.75,1.75,-11.5589453479158,-9.72607749671531,-1.73917701188098,3.32448592800767,3.21649463594567,0,3063.30307851694,
49.1084829553287,0.2981445448879,4.75,-1.54071637431712,-1.32804540180849,1,11.65,7475.75890701858,102.659508182738,107.775244571335,400.080285410013,132.414278859106,0,0,62.9743500820045,-12.3116519473986,1,57.5022821547854,1.75,1.75,-12.6572617849806,-9.89590239559251,-0.95309194355333,3.53205227962535,3.37020177498064,0,3048.78028541001,
48.2333387635453,0.317155930994133,5,-1.55748750248617,-1.33047213726245,1,11.65,7342.53616029675,104.478917912443,107.730657578764,385.947973979809,127.736918102064,0,0,63.4839434820667,-11.7488692631981,1,55.9086449392481,1.75,1.75,-13.8199671226353,-10.1853416570396,-1.59430819043865,3.7425573610282,3.51992379093242,0,3034.64797397981,
